Region,ProjectionTitle,Count_ID,ISO2,ISO3,Area_ID,E_Count,Type,Ind_ID,C_Ind_ID,e_cat,AcronymCombined,Acronym,Age,Sex,Other,E_Ind,Time,Value,Rounded,Formatted,Status,Note,Source,Derived,Order_In_Report,Valid,Updated on,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2015,210.69026,211,                                               211,Published,,,,1233,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2015,20,20,                                                20,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2016,37.27508,37,37,Published,,,,1224,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2016,246.94947,247,                                               247,Published,,,,1233,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2016,20,20,                                                20,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2017,37.7435,38,38,Published,,,,1224,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2017,244.2432,244,                                               244,Published,,,,1233,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2017,20,20,                                                20,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2018,40.64799,41,41,Published,,,,1224,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2018,239.45798,239,                                               239,Published,,,,1233,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2018,20,20,                                                20,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2019,41.43588,41,41,Published,,,,1224,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2019,237.80979,238,                                               238,Published,,,,1233,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2019,20,20,                                                20,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2020,40.99292,41,41,Published,,,,1224,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2020,236.52365,237,                                               237,Published,,,,1233,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2020,20,20,                                                20,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2021,42.3171,42,42,Published,,,,1224,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2021,237.10312,237,                                               237,Published,,,,1233,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2021,20,20,                                                20,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2022,44.23009,44,44,Published,,,,1224,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2022,239.88318,240,                                               240,Published,,,,1233,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2022,20,20,                                                20,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2023,46.88134,47,47,Published,,,,1224,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2023,243.15762,243,                                               243,Published,,,,1233,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2023,20,20,                                                20,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2024,49.75,50,50,Published,,,,1224,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2024,247.71727,248,                                               248,Published,,,,1233,,5/12/2025 12:54:00 PM,
Caribbean,Belize TFR2005-24_26April2025,84,BZ,BLZ,/2/3/,Belize,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2024,20,20,                                                20,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2010,48.4569,48,48,Published,,,,1224,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2010,210.57126,211,                                               211,Published,,,,1233,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2010,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2011,54.13947,54,54,Published,,,,1224,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2011,207.83127,208,                                               208,Published,,,,1233,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2011,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2012,57.57766,58,58,Published,,,,1224,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2012,203.7924,204,                                               204,Published,,,,1233,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2012,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2013,61.46323,61,61,Published,,,,1224,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2013,201.63261,202,                                               202,Published,,,,1233,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2013,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2014,55.26306,55,55,Published,,,,1224,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2014,258.01344,258,                                               258,Published,,,,1233,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2014,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2015,62.61321,63,63,Published,,,,1224,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2015,258.18799,258,                                               258,Published,,,,1233,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2015,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2016,66.69225,67,67,Published,,,,1224,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2016,255.49758,255,                                               255,Published,,,,1233,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2016,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2017,71.22307,71,71,Published,,,,1224,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2017,254.56503,255,                                               255,Published,,,,1233,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2017,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2018,76.25686,76,76,Published,,,,1224,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2018,259.66059,260,                                               260,Published,,,,1233,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2018,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2019,68.046,68,68,Published,,,,1224,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2019,360.55331,361,                                               361,Published,,,,1233,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2019,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2020,66.25424,66,66,Published,,,,1224,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2020,357.19435,357,                                               357,Published,,,,1233,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2020,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2021,67.21258,67,67,Published,,,,1224,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2021,329.90369,330,                                               330,Published,,,,1233,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2021,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2022,69.8431,70,70,Published,,,,1224,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2022,318.91096,319,                                               319,Published,,,,1233,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2022,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2023,68.66552,69,69,Published,,,,1224,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2023,312.39197,312,                                               312,Published,,,,1233,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2023,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2024,67.88145,68,68,Published,,,,1224,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2024,301.57485,302,                                               302,Published,,,,1233,,5/12/2025 12:39:00 PM,
Caribbean,Cuba DoubleLog_28March2025+UA,192,CU,CUB,/2/4/,Cuba,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2024,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Small countries,Dominica rLog IrrAgeCsavr_29April2025,212,DM,DMA,/10/7/,Dominica,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2010,35.87177,36,36,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,Dominica rLog IrrAgeCsavr_29April2025,212,DM,DMA,/10/7/,Dominica,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2010,168.22088,168,                                               168,Published,,,,1233,,5/12/2025 1:06:00 PM,
Small countries,Dominica rLog IrrAgeCsavr_29April2025,212,DM,DMA,/10/7/,Dominica,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2010,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Small countries,Dominica rLog IrrAgeCsavr_29April2025,212,DM,DMA,/10/7/,Dominica,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2011,43.7251,44,44,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,Dominica rLog IrrAgeCsavr_29April2025,212,DM,DMA,/10/7/,Dominica,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2011,168.49595,168,                                               168,Published,,,,1233,,5/12/2025 1:06:00 PM,
Small countries,Dominica rLog IrrAgeCsavr_29April2025,212,DM,DMA,/10/7/,Dominica,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2011,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Small countries,Dominica rLog IrrAgeCsavr_29April2025,212,DM,DMA,/10/7/,Dominica,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2012,49.15408,49,49,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,Dominica rLog IrrAgeCsavr_29April2025,212,DM,DMA,/10/7/,Dominica,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2012,169.64105,170,                                               170,Published,,,,1233,,5/12/2025 1:06:00 PM,
Small countries,Dominica rLog IrrAgeCsavr_29April2025,212,DM,DMA,/10/7/,Dominica,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2012,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Small countries,Dominica rLog IrrAgeCsavr_29April2025,212,DM,DMA,/10/7/,Dominica,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2013,41.38324,41,41,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,Dominica rLog IrrAgeCsavr_29April2025,212,DM,DMA,/10/7/,Dominica,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2013,226.82534,227,                                               227,Published,,,,1233,,5/12/2025 1:06:00 PM,
